,EPOD Name,Customer Location City,Actual Date,KM Travelled for Session
647,EPOD010,Gurugram,2023-06-20,136.09
648,EPOD011,Gurugram,2023-06-20,74.51
649,EPOD012,Gurugram,2023-06-20,0
652,EPOD001,Noida,2023-06-21,132.96
653,EPOD002,Noida,2023-06-21,122.25
654,EPOD003,Noida,2023-06-21,154.53
655,EPOD004,Noida,2023-06-21,238.87
656,EPOD005,Gurugram,2023-06-21,91.35
657,EPOD006,Delhi,2023-06-21,163.33
658,EPOD007,Delhi,2023-06-21,304.84
659,EPOD008,Noida,2023-06-21,154.71
660,EPOD009,Gurugram,2023-06-21,76.66
661,EPOD010,Gurugram,2023-06-21,144.52
662,EPOD011,Gurugram,2023-06-21,76.95
663,EPOD012,Gurugram,2023-06-21,0
666,EPOD001,Noida,2023-06-22,181.73
667,EPOD002,Noida,2023-06-22,98.61
668,EPOD003,Noida,2023-06-22,227.93
669,EPOD004,Noida,2023-06-22,224.08
670,EPOD005,Gurugram,2023-06-22,102.51
671,EPOD006,Delhi,2023-06-22,228.05
672,EPOD007,Delhi,2023-06-22,194.66
673,EPOD008,Noida,2023-06-22,139.14
674,EPOD009,Gurugram,2023-06-22,111.36
675,EPOD010,Gurugram,2023-06-22,133.56
676,EPOD011,Gurugram,2023-06-22,131.38
677,EPOD012,Gurugram,2023-06-22,0
680,EPOD001,Noida,2023-06-23,190.63
681,EPOD002,Noida,2023-06-23,130.64
682,EPOD003,Noida,2023-06-23,200.79
683,EPOD004,Noida,2023-06-23,134.49
684,EPOD005,Gurugram,2023-06-23,193.11
685,EPOD006,Delhi,2023-06-23,184.73
686,EPOD007,Delhi,2023-06-23,220.46
687,EPOD008,Noida,2023-06-23,217.84
688,EPOD009,Gurugram,2023-06-23,74.22
689,EPOD010,Gurugram,2023-06-23,133.62
690,EPOD011,Gurugram,2023-06-23,114.91
691,EPOD012,Gurugram,2023-06-23,0
694,EPOD001,Noida,2023-06-24,105.6
695,EPOD002,Noida,2023-06-24,128.27
696,EPOD003,Noida,2023-06-24,228.23
697,EPOD004,Noida,2023-06-24,217.02
698,EPOD005,Gurugram,2023-06-24,116.39
699,EPOD006,Delhi,2023-06-24,150.59
700,EPOD007,Delhi,2023-06-24,184.51
701,EPOD008,Noida,2023-06-24,172.2
702,EPOD009,Gurugram,2023-06-24,153.27
703,EPOD010,Gurugram,2023-06-24,71.34
704,EPOD011,Gurugram,2023-06-24,112.53
705,EPOD012,Gurugram,2023-06-24,0
708,EPOD001,Noida,2023-06-25,82.92
709,EPOD002,Noida,2023-06-25,61.99
710,EPOD003,Noida,2023-06-25,154.1
711,EPOD004,Noida,2023-06-25,144.24
712,EPOD005,Gurugram,2023-06-25,90.15
713,EPOD006,Delhi,2023-06-25,123.05
714,EPOD007,Delhi,2023-06-25,134.16
715,EPOD008,Noida,2023-06-25,202.64
716,EPOD009,Gurugram,2023-06-25,138.18
717,EPOD010,Gurugram,2023-06-25,140.36
718,EPOD011,Gurugram,2023-06-25,121.01
719,EPOD012,Gurugram,2023-06-25,0
722,EPOD001,Noida,2023-06-26,29.89
723,EPOD002,Noida,2023-06-26,41.71
724,EPOD003,Noida,2023-06-26,111.7
725,EPOD004,Noida,2023-06-26,192.54
726,EPOD005,Gurugram,2023-06-26,87.25
727,EPOD006,Delhi,2023-06-26,156
728,EPOD007,Delhi,2023-06-26,192.28
729,EPOD008,Noida,2023-06-26,128.53
730,EPOD009,Gurugram,2023-06-26,129.15
731,EPOD010,Gurugram,2023-06-26,154.43
732,EPOD011,Gurugram,2023-06-26,72.17
733,EPOD012,Gurugram,2023-06-26,0
736,EPOD001,Noida,2023-06-27,190.45
737,EPOD002,Noida,2023-06-27,208.08
738,EPOD003,Noida,2023-06-27,227.41
739,EPOD004,Noida,2023-06-27,160.12
740,EPOD005,Gurugram,2023-06-27,129.72
741,EPOD006,Delhi,2023-06-27,236.68
742,EPOD007,Delhi,2023-06-27,195.96
743,EPOD008,Noida,2023-06-27,117.74
744,EPOD009,Gurugram,2023-06-27,164.18
745,EPOD010,Gurugram,2023-06-27,76.25
746,EPOD011,Gurugram,2023-06-27,123.7
747,EPOD012,Gurugram,2023-06-27,0
750,EPOD001,Noida,2023-06-28,258.84
751,EPOD002,Noida,2023-06-28,177.36
752,EPOD003,Noida,2023-06-28,160.49
753,EPOD004,Noida,2023-06-28,53.89
754,EPOD005,Gurugram,2023-06-28,155.49
755,EPOD006,Delhi,2023-06-28,153.51
756,EPOD007,Delhi,2023-06-28,172.11
757,EPOD008,Noida,2023-06-28,121.55
758,EPOD009,Gurugram,2023-06-28,111.31
759,EPOD010,Gurugram,2023-06-28,130.55
760,EPOD011,Gurugram,2023-06-28,114.43
761,EPOD012,Gurugram,2023-06-28,0
764,EPOD001,Noida,2023-06-29,182.3
765,EPOD002,Noida,2023-06-29,35.89
766,EPOD003,Noida,2023-06-29,190.36
767,EPOD004,Noida,2023-06-29,136.53
768,EPOD005,Gurugram,2023-06-29,117.09
769,EPOD006,Delhi,2023-06-29,195.94
770,EPOD007,Delhi,2023-06-29,181.24
771,EPOD008,Noida,2023-06-29,173.93
772,EPOD009,Gurugram,2023-06-29,73.81
773,EPOD010,Gurugram,2023-06-29,167.42
774,EPOD011,Gurugram,2023-06-29,104.33
775,EPOD012,Gurugram,2023-06-29,0
778,EPOD001,Noida,2023-06-30,164.1
779,EPOD002,Noida,2023-06-30,105.25
780,EPOD003,Noida,2023-06-30,232.15
781,EPOD004,Noida,2023-06-30,31.73
782,EPOD005,Gurugram,2023-06-30,142.36
783,EPOD006,Delhi,2023-06-30,157.72
784,EPOD007,Delhi,2023-06-30,42.34
785,EPOD008,Noida,2023-06-30,200.3
786,EPOD009,Gurugram,2023-06-30,130.15
787,EPOD010,Gurugram,2023-06-30,122.04
788,EPOD011,Gurugram,2023-06-30,144.06
789,EPOD012,Gurugram,2023-06-30,0
